model_name,train_mse,test_mse,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae
Linear Regression,11490.35523471024,11627.961865850717,107.19307456505872,107.83302771345483,0.6492309960550764,0.6478622687679632,79.83067934392054,80.27734290138045
Polynomial (d=2),11221.520648363401,11329.75519491758,105.93167915389334,106.44132277887935,0.6574377780172185,0.6568930707048914,78.39551471419232,78.67846446750103
Polynomial (d=3),10804.282328598143,10923.208187858165,103.9436497752419,104.51415305047524,0.6701749185879124,0.6692048190883734,77.19935333470532,77.83530357310389
Polynomial (d=4),10490.442892815832,10515.903755634123,102.42286313521915,102.54708067826272,0.679755575063654,0.6815395051097773,75.88380332184072,76.43960167463763
Quadratic + Interactions,4375.995716450764,4564.129938792944,66.1513092572684,67.55834470139824,0.8664128630166414,0.861781249350771,47.00339868295144,48.31145596929151
